"attribute_id","entity_type_id","attribute_code","attribute_model","backend_model","backend_type","backend_table","frontend_model","frontend_input","frontend_label","frontend_class","source_model","is_required","is_user_defined","default_value","is_unique","note","is_bfm_defined","attribute_id","frontend_input_renderer","is_global","is_visible","is_searchable","is_filterable","is_comparable","is_visible_on_front","is_html_allowed_on_front","is_used_for_price_rules","is_filterable_in_search","used_in_product_listing","used_for_sort_by","is_configurable","apply_to","is_visible_in_advanced_search","position","is_wysiwyg_enabled","is_used_for_promo_rules","search_weight","is_deleted","attribute_set_and_group_names"
"364","4","frame_material",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,"multiselect","Frame Material",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FrameMaterial,"1","1",,"0",NULL,"0","364",NULL,"1","1","0","1","0","1","0","0","1","1","0","0",simple,"0","1","0","1","1","0","Frame|Frames"
"369","4","frame_rabbet_depth",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,"multiselect","Frame Rabbet Depth",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FrameRabbetDepth,"1","1",,"0",NULL,"0","369",NULL,"1","1","0","1","0","1","0","0","0","1","0","0",simple,"0","7","0","1","1","0","Frame|Frames"
"375","4","frame_shape",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,"multiselect","Frame Shape",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FrameShape,"1","1",,"0",NULL,"0","375",NULL,"1","1","0","1","0","1","0","0","0","1","0","0",simple,"0","7","0","1","1","0","Frame|Frames"
"366","4","frame_style",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,"multiselect","Frame Style",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FrameStyle,"1","1",,"0",NULL,"0","366",NULL,"1","1","0","1","0","1","0","0","0","1","0","0",simple,"0","5","0","1","1","0","Frame|Frames"
"372","4","frame_tone",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,"multiselect","Tone",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FrameTone,"1","1",,"0",NULL,"0","372",NULL,"1","1","0","1","0","1","0","0","0","1","0","0",simple,"0","3","0","1","1","0","Frame|Frames"
"368","4","frame_width",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,"multiselect","Frame Width",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FrameWidth,"1","1",,"0",NULL,"0","368",NULL,"1","1","0","1","0","1","0","0","0","1","0","0",simple,"0","6","0","1","1","0","Frame|Frames"
"408","4","freight_in_factor",NULL,NULL,"decimal",NULL,NULL,"text","Freight In Factor",NULL,NULL,"1","1",NULL,"0",NULL,"0","408",NULL,"1","1","0","0","0","1","0","0","0","1","0","0",NULL,"0","0","0","0","1","0","Frame|Prices,Mat|Prices"
"95","4","gallery",NULL,NULL,"varchar",NULL,NULL,"gallery","Image Gallery",NULL,NULL,"0","0",NULL,"0",NULL,"0","95",NULL,"1","1","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|Images,Mat|Images"
"123","4","gift_message_available",NULL,"catalog/product_attribute_backend_boolean","varchar",NULL,NULL,"select","Allow Gift Message",NULL,"eav/entity_attribute_source_boolean","0","0",NULL,"0",NULL,"0","123","giftmessage/adminhtml_product_helper_form_config","1","1","0","0","0","0","0","0","0","0","0","0",NULL,"0","0","0","0","1","0","Frame|Gift Options,Mat|Gift Options"
"147","4","gift_wrapping_available",NULL,"catalog/product_attribute_backend_boolean","varchar",NULL,NULL,"select","Allow Gift Wrapping","hidden-for-virtual","eav/entity_attribute_source_boolean","0","0",NULL,"0",NULL,"0","147",NULL,"1","1","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|Gift Options,Mat|Gift Options"
"148","4","gift_wrapping_price",NULL,"catalog/product_attribute_backend_price","decimal",NULL,NULL,"price","Price for Gift Wrapping","hidden-for-virtual",NULL,"0","0",NULL,"0",NULL,"0","148",NULL,"2","1","0","0","0","0","0","0","0","0","0","1","simple,configurable,bundle,giftcard","0","0","0","0","1","0","Frame|Gift Options,Mat|Gift Options"
"111","4","has_options",NULL,NULL,"static",NULL,NULL,"text",NULL,NULL,NULL,"0","0",NULL,"0",NULL,"0","111",NULL,"1","0","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|General,Mat|General"
"353","4","header_data",NULL,NULL,"text",NULL,NULL,"text","Header Data",NULL,NULL,"0","1",NULL,"0",NULL,"0","353",NULL,"1","0","0","0","0","1","0","0","0","1","0","1",customframe,"0","0","0","0","1","0","Frame|General,Mat|General"
"85","4","image",NULL,NULL,"varchar",NULL,"catalog/product_attribute_frontend_image","media_image","Base Image",NULL,NULL,"0","0",NULL,"0",NULL,"0","85",NULL,"0","1","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|Images,Mat|Images"
"112","4","image_label",NULL,NULL,"varchar",NULL,NULL,"text","Image Label",NULL,NULL,"0","0",NULL,"0",NULL,"0","112",NULL,"0","0","0","0","0","0","0","0","0","1","0","0",NULL,"0","0","0","0","1","0","Frame|General,Mat|General"
"261","4","img_popup_preview_1",NULL,Magento\Catalog\Model\Category\Attribute\Backend\Image,"varchar",NULL,Magento\Catalog\Model\Product\Attribute\Frontend\Image,media_image,"Popup Preview Image 1",NULL,NULL,"0","1",NULL,"0","Recommended size: width: 285px, height: 239px","0","261",NULL,"1","1","0","0","0","0","0","0","0","1","0","1",NULL,"0","0","0","0","1","0","Frame|Frames"
