attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,is_bfm_defined,attribute_id,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,search_weight,is_deleted,attribute_set_and_group_names
147,4,gift_wrapping_available,NULL,catalog/product_attribute_backend_boolean,varchar,NULL,NULL,select,Allow Gift Wrapping,hidden-for-virtual,eav/entity_attribute_source_boolean,0,0,NULL,0,NULL,0,147,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|Gift Options
148,4,gift_wrapping_price,NULL,catalog/product_attribute_backend_price,decimal,NULL,NULL,price,Price for Gift Wrapping,hidden-for-virtual,NULL,0,0,NULL,0,NULL,0,148,NULL,2,1,0,0,0,0,0,0,0,0,0,1,"simple,configurable,bundle,giftcard",0,0,0,0,1,0,Custom Frame|Gift Options
259,4,graphic_thickness_interior_depth,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Frontend\Fractional,multiselect,Graphic Thickness/Interior Depth,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\MatboardOverlap,0,1,NULL,0,NULL,1,259,adg_customizer/adminhtml_catalog_form_renderer_attribute_fractional,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,Custom Frame|Size
111,4,has_options,NULL,NULL,static,NULL,NULL,text,NULL,NULL,NULL,0,0,NULL,0,NULL,0,111,NULL,1,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|General
353,4,header_data,NULL,NULL,text,NULL,NULL,text,Header Data,NULL,NULL,0,1,NULL,0,NULL,0,353,NULL,1,0,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,0,1,0,Custom Frame|General
256,4,dimension_1,NULL,adg_customizer/entity_attribute_backend_fractional,text,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Frontend\Fractional,multiselect,Available Height,NULL,adg_customizer/entity_attribute_source_fractional_size,1,1,NULL,0,NULL,1,256,adg_customizer/adminhtml_catalog_form_renderer_attribute_fractional,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,Custom Frame|Size
85,4,image,NULL,NULL,varchar,NULL,catalog/product_attribute_frontend_image,media_image,Base Image,NULL,NULL,0,0,NULL,0,NULL,0,85,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|Images
112,4,image_label,NULL,NULL,varchar,NULL,NULL,text,Image Label,NULL,NULL,0,0,NULL,0,NULL,0,112,NULL,0,0,0,0,0,0,0,0,0,1,0,0,NULL,0,0,0,0,1,0,Custom Frame|General
217,4,is_bestseller,NULL,NULL,int,NULL,NULL,select, Is Best Seller,NULL,eav/entity_attribute_source_boolean,0,1,0,0,NULL,0,217,NULL,2,1,0,0,0,1,0,0,0,0,0,1,"simple,customframe",0,0,0,0,1,0,Custom Frame|ADG
216,4,is_carousel,NULL,NULL,int,NULL,NULL,select, Is Category Carousel product,NULL,eav/entity_attribute_source_boolean,0,1,0,0,NULL,0,216,NULL,2,1,0,0,0,1,0,0,0,0,0,1,simple,0,0,0,0,1,0,Custom Frame|ADG
